Date,Item Name,Price (₹),Quantity
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,22
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,6
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,35
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,28
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,60
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,26
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,59
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,51
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,25
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,63
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,21
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,85
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,26
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,30
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,5
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,58
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,56
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,31
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,9
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,8
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,60
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,25
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,55
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,87
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,49
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,87
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,23
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,65
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,33
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,9
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,78
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,67
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,6
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,5
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,59
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,54
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,5
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,5
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,71
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,53
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,61
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,26
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,59
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,68
